poztu,poztua
poztun,poztuna
atsegin,atſeguiña
poz,pozá
bozkario,bozcárioa
urruntze,urruntzea
urrutiratu,urrutiratu
urrundu,urrundu
urruti,urruti
urrun,urrun
egorri,egorri
urrutiratu,urrutiratu
urrundu,urrundu
urrutiratu,urrutiratua
urrundu,urrundua
aztandu,aztandua
lela,lela
mau,mauac
alaitu,alaitu
pizkortu,pizcortu
indartu,indartu
alaitu,alaitua
errutu,errutua
indartu,indartua
egin,eguin
artatsu,artatſua
esnatu,eſnatua
ernai,ernaya
ernari,ernaria
irazarri,irazarria
leundu,leundua
isats,iſatſa
buztinola,buztinola
buztingile,buztinguillea
eltzegile,eltzeguillea
ateratzaile,ateratzallea
ibiki,ibiquia
buruko estalki,buruco eſtalquia
orratz,orratza
oinazpiko,oñazpicoa
zerria,cerriá
oinazpikotu,oñazpicotua
jantzi,janciá
pikantzi,picanciá
zakuto,zacutoa
alportxa,alporcha
maleta,maletá
urpetegi,urpeteguia
juradu,jurádua
astabortusai,aſtabortuſaya
azoka,azocá
batze,batzea
batu,batú
batu,batua
ai,ayá
trebatu,trebatu
atsegite,atſeguitea
lotu,lotua
erantsi,eranſiá
