EGOKITUA	UNIDECODE	JATORRIZKOA	SARASOLA	SARASOLA1745	WIKIDATA	OEH	OEHLINK
berunez sendotua osatua	berunez sendotua osatua	berunéz ſendotua oſatua					
gitxiro	guichiro	guichiro					
gutiro	gutiro	gutiro					
urriro	urriro	urriro					
beekiro	beequiro	beequiro					
humilkiro	humilquiro	humilquiro					
gitxitzailea	guichitzallea	guichitzallea					
gutitalea	gutitalea	gutitalea					
urritzailea	urritzallea	urritzallea					
eskritura santako liburu ala deritzan bat	escritura santaco liburu ala deritzan bat	eſcritura ſantaco liburu ala deritzan bat					
gitxitzea	guichitzea	guichitzea					
gutitzea	gutitzea	gutitzea				gutitze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gutitze
urritzea	urritzea	urritzea				urritze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=urritze
gitxiera	guichiera	guichiera					
gutiera	gutiera	gutiera					
urriera	urriera	urriera					
beerantza	beeranza	beeranza					
ertsiera	ertsiera	ertſiera					
gitxitu	guichitu	guichitu	gitxitu	gitxitu			
gitxitua	guichitua	guichitua	gitxitu	gitxitu		gitxitu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gitxitu
gutitua	gutitua	gutitua	gutitu		gutitu		
urritua	urritua	urritua	urritu		urritu		
bere burua gitxitzea , &k	bere burua guichitzea , &c	bere burua guichitzea , &c					
beeratzea	beeratzea	beeratzea					
epaira	epaira	epairá					
eztana	eztana	éztana					
sinisezgarria	sinisezgarria	ſiniſezgarria					
izengoitaria	icengoitaria	icengoitaria					
hitzen jostailua	hitzen jostallua	hitzen joſtallua					
ezizendaria	ecicendaria	ecicendaria					
izengoititu	icengoititu	icengoititu					
ezizendu	ecicendu	ecicendu					
izengoitiak erantsi	icengoitiac eransi	icengoitiac eranſi					
egotzi	egotzi	egotzi	egotzi				
hitz jostailuz otsegin	hitz jostalluz otseguin	hitz joſtalluz otſeguin					
alpetu	alpetu	alpetu					
meneratu	meneratu	meneratu	meneratu		meneratu	meneratu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=meneratu
eskuperatu	escuperatu	eſcuperatu					
ahalpetu	ahalpetu	ahalpetu					
alpetua	alpetua	alpetua					
meneratua	meneratua	meneratua	meneratu		meneratu	meneratu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=meneratu
&k	&c	&c					
alpeduna	alpeduna	alpeduna					
egizaia	eguizaya	eguizaya					
egizaina	eguizaina	eguizaina					
ezizena	ecicena	ecicena	ezizen	ezizen	ezizen	ezizen	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ezizen
izengoiti jostailua	icengoiti jostallua	icengoiti joſtallua					
rragarria	rragarria	rragarria					
biurketa	biurqueta	biurqueta					
berriztea	berriztea	berriztea				berrizte	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=berrizte
sitsaera zerrenera	sitsaera cerrenera	ſitſaera cerrenera					
sitsatu	sitsatu	ſitſatu					
zeerrendu	ceerrendu	ceérrendu					
sitsaz , zerrenaz galtzea	sitsaz , cerrenaz galtzea	ſitſaz , cerrenaz galtzea					
sitsatua	sitsatua	ſitſatua				sitsatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=sitsatu
zerrendua	cerrendua	cerrendua				zerrendu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zerrendu
sitsak	sitsac	ſitſac	sits	sits	sits	sits	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=sits
zerrenak galdua	cerrenac galdua	cerrenac galdua					
erantzukia	eranzuquia	eranzuquia	erantzuki		erantzuki	erantzuki	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=erantzuki
erantzukizkoa	eranzuquizcoa	eranzuquizcoa					
erantzukina	eranzuquiña	eranzuquiña				erantzukin	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=erantzukin
erantzukigilea	eranzuquiguillea	eranzuquiguillea					
erantzukitu	eranzuquitu	eranzuquitu					
hipuina	hipuña	hipuña					
hipuia	hipuya	hipuya					
alpertzea	alpertzea	alpertzea					
nagitzea	naguitzea	naguitzea					
zauartzea	zauartzea	zauartzea					
alperra	alperra	alperrá	alper		alper	alper	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=alper
alpertua	alpertua	alpertua				alpertu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=alpertu
nagutia	nagutia	nagutia					
nagitua	naguitua	naguitua	nagitu		nagitu	nagitu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=nagitu
zauarra	zauarra	zauarra					
zauartua	zauartua	zauartua					
ezetza	ezetza	ezetza	ezetz		ezetz	ezetz	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ezetz
hitzan ta	hitzan ta	hitzan tá					
sormindua	sormindua	ſormindua				sormindu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=sormindu
sormine dagoana	sormiñe dagoana	ſormiñe dagoana					
sorreritua	sorreritua	ſorreritua				sorreritu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=sorreritu
sormina	sormiña	ſormiña					
sorreria	sorreria	ſorreriá					
lurrez	lurrez	lurrez					
lurrez estalia	lurrez estalia	lurrez eſtalia					
sorra bezala geratzea	sorra bezala gueratzea	ſorra bezala gueratzea					
agaaz	agaaz	agaaz					
agaiaz	agayaz	agayaz					
makilaz	maquillaz	maquillaz					
jotzea	jotzea	jotzea			jotze	jotze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=jotze
zeatzea	ceatzea	ceatzea					
mailatzea	mallatzea	mallatzea					
agaaz porrokatu	agaaz porrocatu	agaaz porrocatu					
zeatu , jo	ceatu , jo	ceatu , jo					
munitu	munitu	munitu					
agaaz porrokatua	agaaz porrocatua	agaaz porrocatua					
zeatua , joa	ceatua , joa	ceatua , joa					
munitua	munitua	munitua				munitu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=munitu
geiegi nekatzea	gueiegui necatzea	gueiegui necatzea					
larregi arikatzea	larregui aricatzea	larregui aricatzea					
aunatzea	aunatzea	aunatzea					
iori	iori	iori					
ugari	ugari	ugari	ugari		ugari	ugari	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ugari
naroro	naroro	naroró	naroro	naroro			
baieratu	bayeratu	bayeratu					
baiera eldu.Lat	bayera eldu.Lat	bayera eldu.Lat					
baieratua	bayeratua	bayeratua				baieratu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=baieratu
baiera eldua	bayera eldua	bayera eldua					
gelatzalea	guelatzalea	guelatzalea					
etzauntza zaia	etzauntza zaya	etzauntza zaya					
zaina	zaina	zaina	zain		zain	zain	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zain
ostatua	ostatua	oſtatua	ostatu		ostatu	ostatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ostatu
etzauntza	etzauntza	etzauntza	etzauntza		etzauntza	etzauntza	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=etzauntza
ostatua	ostatua	oſtatua	ostatu		ostatu	ostatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ostatu
etzauntza prestau	etzauntza prestau	etzauntza preſtau					
eman	eman	eman	eman		eman	eman	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=eman
ostatua	ostatua	oſtatua	ostatu		ostatu	ostatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ostatu
etzauntza artu	etzaunza artu	etzaunza artu					
gelatxoa	guelachoa	guelachoa	gelatxo			gelatxo	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gelatxo
ganbaratxoa	gambarachoa	gambarachoa	ganbaratxo			ganbaratxo	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ganbaratxo
gela	guela	guelá	gela		gela	gela	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gela
gelea	guelea	guelea					
ganbara	gambara	gambara	ganbara		ganbara	ganbara	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ganbara
hitzepaira	hitzepaira	hitzepaira					
atzaurreaz	atzaurreaz	atzaurreaz					
atzaurkez	atzaurquez	atzaurquez					
berariaz	berariaz	berariaz	berariaz				
usteariaz	usteariaz	uſteariaz					
apostatu	apostatu	apoſtatú					
paramenatu	paramenatu	paramenatu					
ispitxoinatu	ispichoñatu	iſpichoñatu					
paramena	paramena	paramena				paramen	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=paramen
tema	tema	tema	tema		tema	tema	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=tema
ispitxoina egin	ispichoña eguin	iſpichoña eguin					
paramenatua	paramenatua	paramenatua					
apostatua	apostatua	apoſtatua					
pamen egina	pamen eguiña	pamen eguiña					
edozei-	edocei-	edocei-					
lekuren	lecuren	lecuren					
tokiren batean ifini	toquiren batean ifiñi	toquiren batean ifiñi					
paratu	paratu	paratu	paratu		paratu	paratu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=paratu
ezarri	ezarri	ezarri	ezarri		ezarri	ezarri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ezarri
apaindu	apaindu	apaindu	apaindu		apaindu	apaindu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=apaindu
edertu	edertu	edertu	edertu		edertu	edertu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=edertu
apaindua	apaindua	apaindua	apaindu		apaindu	apaindu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=apaindu
edertua	edertua	edertua	edertu		edertu	edertu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=edertu
ukandia	ucandia	ucandia					
ukandarla	ucandarla	ucandarla					
ukandetu	ucandetu	ucandetu					
zornandea	zornandea	zornandea				zornande	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zornande
iuzi	iuci	iuci					
iiuzi	iyuci	iyuci					
irazi	iraci	iraci	irazi		irazi	irazi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=irazi
zornandetu	zornandetu	zornandetu					
zornatu	zornatu	zornatu	zornatu	zornatu	zornatu	zornatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zornatu
zornaz bete	zornaz bete	zornaz bete					
aunditu	aunditu	aunditu					
zornandetua	zornandetua	zornandetua				zornandetu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zornandetu
zornatua	zornatua	zornatua	zornatu	zornatu	zornatu	zornatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zornatu
zornaz betea	zornaz betea	zornaz betea					
aunditua	aunditua	aunditua					
ainbat da nola bialdua	aimbat da nola bialdua	aimbat da nola bialdua					
egorria	egorria	egorria			egorri	egorri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=egorri
mandataria	mandataria	mandataria	mandatari		mandatari	mandatari	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=mandatari
baina bereziki ala deitzen dira amabi postoluak	baña bereciqui ala deitzen dira amabi postoluac	baña bereciqui ala deitzen dira amabi poſtoluac					
postoluen batzarrea	postoluen batzarrea	poſtoluen batzarrea					
bilguma	bilguma	bilguma	bilguma	bilguma			
bailera	ballera	ballerá					
postoluen erara	postoluen erara	poſtoluen érara					
gisara	guisara	guiſará	gisara				
apostoluarra	apostoluarra	apoſtoluarra					
bestostea	bestostea	beſtoſtea					
letruztea	letruztea	letruztea					
irudin galanta	irudin galanta	irudin galantá					
edertasuna	edertasuna	edertaſuna	edertasun		edertasun	edertasun	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=edertasun
larrantza ona	larranza ona	larranza oná					
irozerazo	irozerazo	irozerazo	irozerazo	irozerazo			
irozarazi	irozaraci	irozaraci					
sostengatu	sostengatu	ſoſtengatu	sostengatu		sostengatu	sostengatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=sostengatu
irozerazoa	irozerazoa	irozerazoa	irozerazo	irozerazo			
irozarazia	irozaracia	irozaracia					
sostengatua	sostengatua	ſoſtengatua	sostengatu		sostengatu	sostengatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=sostengatu
ganatxeden	ganacheden	ganacheden					
ganatxedena	ganachedena	ganachedena					
irozgarria	irozgarria	irozgarria	irozgarri	irozgarri	irozgarri	irozgarri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=irozgarri
estimagarria	estimagarria	eſtimagarria	estimagarri	estimagarri	estimagarri	estimagarri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=estimagarri
estimagarriro	estimagarriro	eſtimagarriró					
estimatzailea	estimatzallea	eſtimatzallea				estimatzaile	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=estimatzaile
preksatua	precsatua	precſatua					
prezatua	prezatua	prezatua	prezatu		prezatu	prezatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=prezatu
balioan	valioan	valioan					
zenbatandean ifinia	cembatandean ifiñia	cembatandean ifiñia					
amodio	amodio	amodio	amodio		amodio	amodio	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=amodio
edo grroto gaindirokia	edo grroto gaindiroquia	edo grroto gaindiroquia					
ikasia	icasia	icaſia	ikasi		ikasi	ikasi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ikasi
agarrar	agarrar	agarrar					
itsatsi eldu	itsatsi eldu	itſatſi eldu					
itsatsia	itsatsia	itſatſia	itsatsi	itsatsi	itsatsi	itsatsi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=itsatsi
eldua	eldua	eldua					
irudin	irudin	irudin					
iruditu	iruditu	iruditu	iruditu		iruditu	iruditu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=iruditu
irudipena	irudipena	irudipena	irudipen	irudipen	irudipen	irudipen	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=irudipen
ustegoa	ustegoa	uſtegoa				ustego	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ustego
itsaskera	itsasquera	itſaſquera					
eldumena	eldumena	eldumena					
irudikorra	irudicorra	irudicorra	irudikor	irudikor	irudikor	irudikor	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=irudikor
ustegokina	ustegoquiña	uſtegoquiña					
premiatua	premiatua	premiatua	premiatu		premiatu	premiatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=premiatu
premian ezarria	premian ezarria	premian ezarria					
premia	premia	premia	premia		premia	premia	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=premia
ikasi	icasi	icaſi	ikasi		ikasi	ikasi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ikasi
ikasaria	icasaria	icaſaria					
ikasjarduna	icasjarduna	icasjarduna				ikasjardun	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ikasjardun
prentsatu	prensatu	prenſatu	prentsatu	prentsatu	prentsatu	prentsatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=prentsatu
prentsa	prensa	prenſa	prentsa		prentsa	prentsa	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=prentsa
Trinkatu	Trincatu	Trincatu					
estuerazo	estuerazo	eſtuerazo	estuerazo	estuerazo			
ertsiarazi	ersiaraci	erſiaraci					
trinkatua	trincatua	trincatua	trinkatu	trinkatu	trinkatu	trinkatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=trinkatu
&k	&c	&c					
ontziren bat arrapatzea	onciren bat arrapatzea	onciren bat arrapatzea					
apresatzea	apresatzea	apreſatzea					
arrapatua	arrapatua	arrapatua					
apresatua	apresatua	apreſatua					
prest	prest	preſt	prest				
prestatu	prestatu	preſtatu	prestatu		prestatu	prestatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=prestatu
prestatua	prestatua	preſtatua	prestatu		prestatu	prestatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=prestatu
prestamena	prestamena	preſtamena	prestamen	prestamen	prestamen	prestamen	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=prestamen
manealdia	manealdia	manealdia				manealdi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=manealdi
lasterrera	lasterrera	laſterrera					
presakera	presaquera	preſaquera					
presa	presa	preſá	presa		presa	presa	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=presa
presakatua	presacatua	preſacatua				presakatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=presakatu
lasterkatua	lastercatua	laſtercatua	lasterkatu		lasterkatu	lasterkatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=lasterkatu
permatua	permatua	permatua	permatu		permatu		
estukiro	estuquiro	eſtuquiro					
ertsikiro	ertsiquiro	ertſiquiro					
estu	estu	eſtu	estu		estu	estu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=estu
estu	estu	eſtu	estu		estu	estu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=estu
ertsi	ertsi	ertſi					
ertsi	ertsi	ertſi					
estugarriak	estugarriac	eſtugarriac	estugarri	estugarri	estugarri	estugarri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=estugarri
ertsigarriak	ertsigarriac	ertſigarriac					
